,Factor loading
SDO,
We should work to give all groups an equal chance to succeed.ª,−0.49             ***
Social inequality in Austria is just too big.ª,−0.34             ***
It is unjust to try to make groups equal.ª,0.54             ***
Every society requires some groups to be on top and others to be on the bottom.ª,0.76             ***
RWA,
"Our country needs people who oppose traditions and try out different ideas.             a,c",−0.54             ***
"This country would flourish if young people paid more attention to traditions and values.             a,c",0.68             ***
Respect for authority is something all children need to learn.             b,0.60             ***
Some acts are wrong on the grounds that they are unnatural.             b,0.58             ***
